job_id,slug,title,organization,closing_date,status,published_to_site,source_url,source_url_status,apply_url,apply_url_status,contains_html,is_duplicate,validation_errors,validation_warnings,confidence,recommended_action
ebfde84d-0935-4aa6-b152-2e81c0f5ddac,district-panchayat-kabirdham-accounts-cum-mis-assistant-recruitment-2026-apply-o-ad3a3a86,District Panchayat Kabirdham Accounts cum MIS Assistant Recruitment 2026 - Apply Offline,District Panchayat Kabirdham,2030-01-17,live,False,https://cdn.s3waas.gov.in/s328dd2c7955ce926456240b2ff0100bde/uploads/2026/03/17740041096394.pdf,200,,missing,False,False,Publication date is in the future | Deadline is implausibly far in the future,Missing apply URL,90,needs_review
bb5ec4f1-a961-420c-9411-563a3e452caf,rcfl-recruitment-2026-apply-offline-for-46-honorary-doctors-panel-doctors-posts-24e22df2,RC Fl Recruitment 2026 - Apply Offline for 46 Honorary Doctors & Panel Doctors Posts,RCFl,2029-12-31,live,False,https://www.rcfltd.com/files/Hon%20Doctors%20and%20Panel%20Doctors%20Advtg.pdf,error:ConnectError,,missing,False,False,Publication date is in the future | Deadline is implausibly far in the future,Missing apply URL,90,needs_review
06131267-8a15-4245-8496-c990cdc49d5a,22nd-april-202647th-post-graduate-diploma-course-in-advanced-wildlife-management-c0ea9cdc,"22nd April 202647th Post-Graduate Diploma Course in Advanced Wildlife Management (Sept, 2026 to June, 2027)",Wii,2027-06-30,live,False,https://www.wii.gov.in/news/47th-pg-diploma-advanced-wildlife-management,200,https://www.wii.gov.in/news/47th-pg-diploma-advanced-wildlife-management,200,False,False,Publication date is in the future | Completeness score 66 below 70,Vacancy count is not specified,95,needs_review
9ef69c5c-461a-465f-a746-4c6e9d2ca967,esic-employees-state-insurance-corporation-rolling-advertisement-no-08-of-2026-r-12c28401,Rolling Advertisement No. 08 of 2026 - Recruitment of Teaching Faculties/SR-3 Years/SR-1 Year in ESIC Hospital Bibvewadi Pune and Medical Officers at DCBOs,ESIC — Employees' State Insurance Corporation,2026-08-13,live,False,https://bibvewadihospital.esic.gov.in,error:ConnectError,https://bibvewadihospital.esic.gov.in,error:ConnectError,False,False,Publication date is in the future | Completeness score 66 below 70,Vacancy count is not specified,95,needs_review
e9be41cb-d407-4c2f-a60e-b40907df3015,esic-employees-state-insurance-corporation-walk-in-interview-for-recruitment-of--dc939bc1,Walk in interview for recruitment of Teaching Faculty and Senior Residents on Contract basis,ESIC — Employees' State Insurance Corporation,2026-08-08,live,True,https://www.esic.gov.in/attachments/recruitmentfile/Walk_in_interview_for_recruitment_of_Teaching_Faculty_and_Senior_Residents_on_Contract_basis_1785742551.pdf,error:ConnectError,,missing,False,False,,Missing apply URL,90,needs_review
4f61533b-28c0-4647-a432-a427a2e7965a,bobcaps-business-development-manager-recruitment-2026-apply-online-cd153f44,BOBCAPS Business Development Manager Recruitment 2026 - Apply Online,BOBCAPS,2027-01-31,live,True,https://www.bobcaps.in/media/brnj1qpq/opening-for-business-development-manager-role-at-bob-capital-as-off-roll-employee.pdf,200,,missing,False,False,,Missing apply URL | Vacancy count is not specified,85,manual_review
dda42dc1-9928-437a-8602-e0eae032f297,esic-employees-state-insurance-corporation-walk-in-interview-to-engage-specialis-4cd797a4,"Walk in interview to engage specialists , senior residents & Jr/ Sr on contract basis in ESIC Hospital Bikaner Rajasthan",ESIC — Employees' State Insurance Corporation,2026-08-20,live,True,https://www.esic.nic.in/recruitments,error:ConnectError,https://www.esic.nic.in/recruitments,error:ConnectError,False,False,,Vacancy count is not specified,95,needs_review
efbb5a47-8007-47db-95f3-e2dfe97b664e,navodaya-notice-for-empanelment-and-engagement-of-hostel-superintendents-female--91661945,📢 NOTICE FOR EMPANELMENT AND ENGAGEMENT OF HOSTEL SUPERINTENDENTS (FEMALE) ON CONTRACT BASIS IN JNVs UNDER CHANDIGARH REGION FOR THE SESSION 2026-27,Navodaya,2026-08-10,live,True,https://navodaya.gov.in/nvs/ro/Chandigarh/en/home/,200,https://navodaya.gov.in/nvs/ro/Chandigarh/en/home/,200,False,False,,Vacancy count is not specified,95,keep_active
ec69fa1a-c551-484d-9856-f4fd46c0c69e,cmho-raigarh-recruitment-2026-apply-offline-for-dresser-pharmacist-and-more-post-419f0814,"CMHO Raigarh Recruitment 2026 - Apply Offline for Dresser, Pharmacist and More Posts",CMHO Raigarh,2026-08-28,live,True,https://cdn.s3waas.gov.in/s351d92be1c60d1db1d2e5e7a07da55b26/uploads/2026/05/17793514627901.pdf,200,,missing,False,False,,Missing apply URL | Vacancy count is not specified,85,manual_review
39821b8c-c5cc-4602-a34e-192a3009b248,paradip-port-authority-deputy-chief-engineer-recruitment-2026-apply-online-e9637f42,Paradip Port Authority Deputy Chief Engineer Recruitment 2026 - Apply Online,Paradip Port Authority,2026-09-30,live,True,https://paradipport.gov.in,200,,missing,False,False,,Missing apply URL,90,keep_active
af27d0c6-82bf-45a7-a1c8-849e20d39300,cen-02-2026-technicians-click-to-know-update-b7d8ad0a,RRB CEN 02/2026 Technicians Recruitment — Apply Online,Railway Recruitment Board (RRB) — Mumbai,2026-08-10,live,True,https://rrbmumbai.gov.in/CEN-02-2026-TECHNICIANS.php,200,https://rrbmumbai.gov.in/CEN-02-2026-TECHNICIANS.php,200,False,False,,,100,keep_active
2981584b-3548-496c-9895-08ce895d6cc1,institute-of-banking-personnel-selection-ibps-crp-csa-xvi-posted-on-01-aug-2026--8e679c17,"CRP-CSA-XVI Posted on 01 Aug, 2026 Notification for Common Recruitment Process for CRP-CSA-XVI",Institute of Banking Personnel Selection (IBPS),2026-08-21,live,False,https://cgrs.ibps.in,200,https://cgrs.ibps.in,200,False,False,Completeness score 66 below 70,Vacancy count is not specified,95,needs_review
cb11616a-272c-4b75-b3d7-b518dac339f4,isro-careers-advt-no-nrsc-rmt-1-2026-dated-01-08-2026-recruitment-to-the-post-of-521d6338,"Advt. No. NRSC/RMT/1/2026 Dated.01.08.2026 Recruitment to the post of Temporary Research Personnel (Research Scientist,Project Associate-I,Project Associate-II,Project Scientist-I,Project Scientist-B,Junior Research Fellow )",ISRO — Careers,2026-08-21,live,True,https://www.isro.gov.in/NRSCRecruitment2026_1.html,200,https://www.isro.gov.in/NRSCRecruitment2026_1.html,200,False,False,,,100,keep_active
80bb3d89-ae00-4810-88e9-4746f040ae12,institute-of-banking-personnel-selection-ibps-crp-csa-xvi-posted-on-01-aug-2026--818e7656,"CRP-CSA-XVI Posted on 01 Aug, 2026 Apply Online for Common Recruitment Process under CRP-CSA-XVI",Institute of Banking Personnel Selection (IBPS),2026-08-21,live,False,https://www.ibps.in/index.php/clerical-cadre-xvi/,error:ConnectError,https://www.ibps.in/index.php/clerical-cadre-xvi/,error:ConnectError,False,False,Completeness score 66 below 70,Vacancy count is not specified,95,needs_review
593c252d-23c1-4ba1-a1ad-cd1c75feb98f,isro-careers-advt-no-isro-icrb-02-emc-cepo-2026-dated-28-07-2026-recruitment-to--d96680f7,Advt. No. ISRO:ICRB:02(EMC-CEPO):2026 dated 28-07-2026 Recruitment to the post of Scientist/Engineers 'SC',ISRO — Careers,2026-08-19,live,True,https://www.isro.gov.in/ICRB_Recruitment12.html,200,https://www.isro.gov.in/ICRB_Recruitment12.html,200,False,False,,,100,keep_active
2d6cbe80-3058-4126-9eee-40b020764a8d,isro-careers-advt-no-icrb-01-a-jpa-2026-dated-27-07-2026-recruitment-to-the-post-2d095791,"ADVT. NO. ICRB:01(A-JPA):2026 dated 27-07-2026 - Recruitment to the post of Assistants, Junior Personal Assistants, Upper Division Clerk and Stenographers",ISRO — Careers,2026-08-16,live,True,https://www.isro.gov.in/ICRB_Recruitment11.html,200,https://www.isro.gov.in/ICRB_Recruitment11.html,200,False,False,,,100,keep_active
c9c5f62b-4eaa-45de-bf85-0dcdc0ae44a1,mppsc-recruitment-2026-apply-online-for-06-iaeo-aao-and-more-posts-9bc6da58,"MPPSC Recruitment 2026 - Apply Online for 06 IAEO, AAO and More Posts",MPPSC,2026-09-03,live,True,https://mppsc.mp.gov.in/,200,https://www.mponline.gov.in/portal/,error:ConnectError,False,False,Job has not been verified | Completeness score 66 below 70,,100,needs_review
